mtag,cc,rounds,out_tok_s,ttft_mean_ms,ttft_p99_ms,tpot_mean_ms,tpot_p99_ms,req_s,olen
Qwen3.5-35B-A3B-FP8_tp1_tritongdnctl,16,3,918.53,1122.62,3044.3,16.31,17.05,0.9,1024
Qwen3.5-35B-A3B-FP8_tp1_tritongdnctl,32,3,1184.94,1524.01,6111.41,25.49,26.58,1.16,1024
Qwen3.5-35B-A3B-FP8_tp1_tritongdnctl,64,3,1442.99,2348.78,12733.37,41.96,44.08,1.41,1024
Qwen3.5-35B-A3B-FP8_tp1_tritongdnctl,128,3,1600.65,4460.62,28679.8,75.29,80.28,1.56,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,1,3,59.93,755.3,763.81,15.96,15.98,0.06,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,2,3,105.68,1122.55,1499.03,17.84,18.2,0.1,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,4,3,188.6,2061.42,2946.03,19.18,20.46,0.18,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,8,3,312.38,2821.23,5806.86,22.86,24.83,0.31,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,16,3,458.17,3893.89,11562.91,31.12,34.23,0.45,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,32,3,594.56,5335.86,22864.51,48.57,53.05,0.58,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,64,3,707.52,8354.78,45189.76,82.16,89.04,0.69,1024
Qwen3.5-397B-A17B-FP8_tp8_cutefp8,128,3,786.77,14297.99,91039.71,148.26,160.21,0.77,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,1,3,58.8,764.61,772.95,16.28,16.29,0.06,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,2,3,103.63,1137.61,1516.54,18.2,18.56,0.1,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,4,3,182.68,1957.05,2974.76,20.02,21.15,0.18,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,8,3,301.62,2986.8,5889.61,23.61,25.91,0.29,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,16,3,438.5,3880.22,11702.22,32.57,36.01,0.43,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,32,3,571.88,5407.5,23171.63,50.63,55.31,0.56,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,64,3,684.07,8305.69,45790.57,85.29,91.99,0.67,1024
Qwen3.5-397B-A17B-FP8_tp8_cutemxfp832,128,3,766.44,14478.33,92199.7,152.37,164.5,0.75,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,1,3,96.13,775.09,781.08,9.66,9.68,0.09,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,2,3,154.12,1148.15,1538.47,11.87,12.24,0.15,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,4,3,238.94,2078.05,3029.14,14.72,16.17,0.23,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,8,3,335.75,3043.35,5986.82,20.86,23.43,0.33,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,16,3,446.61,4086.6,11927.35,31.83,35.31,0.44,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,32,3,553.39,5513.83,23642.16,52.41,57.05,0.54,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,64,3,647.05,8481.83,46760.02,90.48,97.33,0.63,1024
Qwen3.5-397B-A17B-FP8_tp8_dgmxfp832,128,3,720.89,14790.19,94212.77,162.59,174.9,0.7,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,1,3,97.2,767.56,773.64,9.55,9.57,0.09,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,2,3,156.25,1134.45,1512.61,11.7,12.08,0.15,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,4,3,242.01,2096.14,2996.3,14.53,15.9,0.24,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,8,3,345.75,2880.74,5926.47,20.34,23.02,0.34,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,16,3,454.83,3979.85,11803.09,31.24,34.64,0.44,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,32,3,564.65,5353.22,23381.59,51.41,55.94,0.55,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,64,3,661.62,8389.04,46243.51,88.4,95.21,0.65,1024
Qwen3.5-397B-A17B-FP8_tp8_dgue8m0,128,3,739.74,14637.54,93225.4,158.24,170.65,0.72,1024
